,Adsorbate 1,Adsorbate 2,num of Atoms,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average EA,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,FIE 1 minus FIE 2,EA 1 minus EA 2,num of Valence 1 minus num of Valence 2,Average VdW Radius squared,Difference,Gdiff_ML,Gdiff_Final
55,NH,NH2,2.5,3.5,2.55,0.49,13.99,0.41,6.5,0.14,0.07,0.06,0.16,0.14,1.0,1.81,-0.17302,-0.17268961668014526,-0.17302
56,NH,NH3,3.0,3.25,2.52,0.47,13.95,0.45,7.0,0.21,0.1,0.09,0.23,0.21,2.0,1.77,,0.08361074328422546,0.08361074328422546
57,NH,C,1.5,5.0,2.59,0.64,12.66,0.8,5.0,0.07,0.23,0.33,2.81,0.92,2.0,2.36,,-0.045995671302080154,-0.045995671302080154
58,NH,CH,2.0,3.75,2.5,0.53,13.25,0.68,5.5,0.25,0.02,0.08,1.64,0.67,1.0,2.0,-0.10705,-0.10704407095909119,-0.10705
59,NH,CH2,2.5,3.33,2.47,0.49,13.44,0.63,6.0,0.3,0.06,0.01,1.25,0.58,0.0,1.88,,-0.2616644501686096,-0.2616644501686096
60,NH,CH3,3.0,3.13,2.45,0.48,13.54,0.61,6.5,0.33,0.09,0.05,1.05,0.54,1.0,1.82,-0.24345,-0.24316802620887756,-0.24345
61,NH,S,1.5,10.0,2.6,0.78,12.21,1.21,6.0,0.04,0.51,0.43,3.71,1.74,0.0,2.52,,-0.01718677207827568,-0.01718677207827568
62,NH,SH,2.0,6.25,2.51,0.6,13.02,0.88,6.5,0.23,0.16,0.13,2.09,1.07,1.0,2.07,,-0.14820855855941772,-0.14820855855941772
63,NH,SH2,2.5,5.0,2.47,0.54,13.29,0.77,7.0,0.29,0.04,0.03,1.55,0.85,2.0,1.93,,-0.02540663816034794,-0.02540663816034794
64,NH,F,1.5,6.5,3.3,0.58,15.74,1.87,6.5,1.36,0.12,0.1,3.36,3.06,1.0,2.02,,-0.13311265408992767,-0.13311265408992767
65,NH,Cl,1.5,10.5,2.89,0.76,13.52,1.98,6.5,0.54,0.47,0.38,1.1,3.27,1.0,2.44,,-0.04578318074345589,-0.04578318074345589
66,NH,Br,1.5,19.5,2.79,0.83,12.94,1.85,6.5,0.34,0.62,0.48,2.25,3.02,1.0,2.6,,-0.045808617025613785,-0.045808617025613785
67,NH,I,1.5,28.5,2.64,0.93,12.26,1.7,6.5,0.04,0.81,0.61,3.62,2.72,1.0,2.81,,-0.047268204391002655,-0.047268204391002655
68,NH2,O,2.0,5.5,2.96,0.54,13.76,0.97,6.5,0.96,0.18,0.2,0.29,0.98,1.0,2.01,,-0.19009262323379517,-0.19009262323379517
69,NH2,OH,2.5,3.75,2.65,0.47,13.76,0.79,7.0,0.34,0.03,0.04,0.3,0.63,0.0,1.79,,-0.24249716103076935,-0.24249716103076935
70,NH2,N,2.0,5.0,2.76,0.58,14.22,0.2,6.0,0.56,0.26,0.23,0.62,0.55,2.0,2.05,,-0.11029549688100815,-0.11029549688100815
71,NH2,NH,2.5,3.5,2.55,0.49,13.99,0.41,6.5,0.14,0.07,0.06,0.16,0.14,1.0,1.81,-0.17302,-0.17268961668014526,-0.17302
72,NH2,NH2,3.0,3.0,2.48,0.45,13.91,0.48,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,,-0.24325254559516907,-0.24325254559516907
73,NH2,NH3,3.5,2.75,2.45,0.44,13.87,0.51,7.5,0.07,0.03,0.03,0.08,0.07,1.0,1.7,,-0.24205181002616882,-0.24205181002616882
74,NH2,C,2.0,4.5,2.52,0.6,12.59,0.87,5.5,0.07,0.3,0.38,2.65,0.78,3.0,2.28,-0.04575,-0.045995671302080154,-0.04575
75,NH2,CH,2.5,3.25,2.43,0.5,13.17,0.74,6.0,0.11,0.09,0.13,1.48,0.53,2.0,1.91,,-0.16114813089370728,-0.16114813089370728
76,NH2,CH2,3.0,2.83,2.4,0.46,13.36,0.7,6.5,0.16,0.01,0.05,1.09,0.44,1.0,1.8,,-0.24945756793022156,-0.24945756793022156
77,NH2,CH3,3.5,2.63,2.38,0.44,13.46,0.68,7.0,0.19,0.02,0.01,0.9,0.4,0.0,1.74,,-0.3244059085845947,-0.3244059085845947
78,NH2,S,2.0,9.5,2.53,0.74,12.14,1.28,6.5,0.1,0.58,0.48,3.55,1.6,1.0,2.43,-0.09915,-0.0996570885181427,-0.09915
79,NH2,SH,2.5,5.75,2.44,0.57,12.94,0.95,7.0,0.09,0.23,0.18,1.93,0.94,0.0,1.98,,-0.1745711863040924,-0.1745711863040924
80,NH2,SH2,3.0,4.5,2.4,0.51,13.21,0.84,7.5,0.15,0.11,0.08,1.39,0.72,1.0,1.85,,-0.11932695657014847,-0.11932695657014847
81,NH2,F,2.0,6.0,3.23,0.55,15.67,1.94,7.0,1.5,0.19,0.15,3.51,2.92,0.0,1.94,,-0.11121668666601181,-0.11121668666601181
82,NH2,Cl,2.0,10.0,2.82,0.72,13.44,2.05,7.0,0.68,0.54,0.43,0.94,3.13,0.0,2.35,,-0.04578318074345589,-0.04578318074345589
83,NH2,Br,2.0,19.0,2.72,0.8,12.86,1.92,7.0,0.48,0.69,0.53,2.1,2.88,0.0,2.51,,-0.0517817884683609,-0.0517817884683609
84,NH2,I,2.0,28.0,2.57,0.89,12.18,1.77,7.0,0.18,0.88,0.66,3.46,2.58,0.0,2.72,,-0.049546465277671814,-0.049546465277671814
85,NH3,O,2.5,5.25,2.93,0.53,13.73,1.0,7.0,1.03,0.21,0.23,0.21,0.91,2.0,1.97,,0.04609870910644531,0.04609870910644531
86,NH3,OH,3.0,3.5,2.62,0.45,13.72,0.83,7.5,0.41,0.06,0.07,0.22,0.56,1.0,1.75,-0.22033000000000003,-0.22152337431907654,-0.22033000000000003
87,NH3,N,2.5,4.75,2.73,0.57,14.18,0.24,6.5,0.63,0.29,0.26,0.7,0.62,3.0,2.01,,0.045237842947244644,0.045237842947244644
